ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,url,NUTS2,NUTS2_Label,NUTS3,NUTS3_Label,Domain_Status
PT-HEI-001,University of Lisbon (ULisboa),Public,University,Member of a European Universities Initiative alliance,www.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D01,University of Lisbon - Instituto Superior Tecnico,Public,University,Member of a European Universities Initiative alliance,tecnico.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D02,University of Lisbon - Faculty of Sciences,Public,University,Member of a European Universities Initiative alliance,fc.ul.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D03,University of Lisbon - Faculty of Medicine,Public,University,Member of a European Universities Initiative alliance,medicina.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D04,University of Lisbon - Faculty of Law,Public,University,Member of a European Universities Initiative alliance,fd.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D05,University of Lisbon - Faculty of Arts and Humanities,Public,University,Member of a European Universities Initiative alliance,www.letras.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D06,University of Lisbon - School of Agriculture,Public,University,Member of a European Universities Initiative alliance,isa.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D07,University of Lisbon - Faculty of Veterinary Medicine,Public,University,Member of a European Universities Initiative alliance,fmv.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-001-D08,"University of Lisbon - Nursing School (former ESEL, integrated by DL 83/2024)",Public,University,Member of a European Universities Initiative alliance,enfermagem.ulisboa.pt,PT1A,Grande Lisboa,PT1A0,Grande Lisboa,V
PT-HEI-002,University of Porto (UPorto),Public,University,Member of a European Universities Initiative alliance,www.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D01,University of Porto - Faculty of Engineering,Public,University,Member of a European Universities Initiative alliance,fe.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
PT-HEI-002-D02,University of Porto - Faculty of Sciences,Public,University,Member of a European Universities Initiative alliance,fc.up.pt,PT11,Norte,PT11A,Area Metropolitana do Porto,V
